,Date,Category,Type,Amount,Month,Weekday
52,2024-02-22,Salary,Expense,1546,February,Thursday
53,2024-02-23,Food,Expense,957,February,Friday
54,2024-02-24,Rent,Income,3655,February,Saturday
55,2024-02-25,Food,Expense,4427,February,Sunday
56,2024-02-26,Shopping,Income,23205,February,Monday
57,2024-02-27,Entertainment,Expense,2643,February,Tuesday
58,2024-02-28,Food,Income,16780,February,Wednesday
59,2024-02-29,Entertainment,Expense,3868,February,Thursday
60,2024-03-01,Rent,Expense,2058,March,Friday
61,2024-03-02,Food,Expense,1852,March,Saturday
62,2024-03-03,Salary,Expense,1965,March,Sunday
63,2024-03-04,Food,Expense,1632,March,Monday
64,2024-03-05,Salary,Expense,2214,March,Tuesday
65,2024-03-06,Travel,Income,9560,March,Wednesday
66,2024-03-07,Rent,Income,9275,March,Thursday
67,2024-03-08,Rent,Expense,2008,March,Friday
68,2024-03-09,Bills,Income,10580,March,Saturday
69,2024-03-10,Bills,Income,8935,March,Sunday
70,2024-03-11,Salary,Expense,4594,March,Monday
71,2024-03-12,Travel,Income,7220,March,Tuesday
72,2024-03-13,Salary,Income,7525,March,Wednesday
73,2024-03-14,Shopping,Expense,4481,March,Thursday
74,2024-03-15,Entertainment,Expense,2151,March,Friday
75,2024-03-16,Shopping,Expense,2083,March,Saturday
76,2024-03-17,Food,Expense,4981,March,Sunday
77,2024-03-18,Salary,Income,18225,March,Monday
78,2024-03-19,Salary,Expense,1142,March,Tuesday
79,2024-03-20,Travel,Income,22265,March,Wednesday
80,2024-03-21,Rent,Expense,2086,March,Thursday
81,2024-03-22,Shopping,Expense,419,March,Friday
82,2024-03-23,Salary,Income,22665,March,Saturday
83,2024-03-24,Salary,Income,6490,March,Sunday
84,2024-03-25,Travel,Expense,4347,March,Monday
85,2024-03-26,Food,Income,8145,March,Tuesday
86,2024-03-27,Entertainment,Expense,3038,March,Wednesday
87,2024-03-28,Food,Income,5730,March,Thursday
88,2024-03-29,Rent,Expense,1862,March,Friday
89,2024-03-30,Travel,Income,8520,March,Saturday
90,2024-03-31,Food,Expense,3728,March,Sunday
91,2024-04-01,Bills,Income,8180,April,Monday
92,2024-04-02,Entertainment,Income,7575,April,Tuesday
93,2024-04-03,Rent,Expense,3506,April,Wednesday
94,2024-04-04,Bills,Expense,548,April,Thursday
95,2024-04-05,Bills,Expense,3480,April,Friday
96,2024-04-06,Rent,Income,10135,April,Saturday
97,2024-04-07,Food,Expense,4684,April,Sunday
98,2024-04-08,Salary,Income,3995,April,Monday
99,2024-04-09,Food,Expense,3892,April,Tuesday
100,2024-04-10,Shopping,Income,13360,April,Wednesday
101,2024-04-11,Food,Expense,3581,April,Thursday
102,2024-04-12,Bills,Expense,1729,April,Friday
103,2024-04-13,Salary,Expense,4802,April,Saturday
104,2024-04-14,Rent,Income,10460,April,Sunday
105,2024-04-15,Bills,Income,19810,April,Monday
106,2024-04-16,Travel,Income,11955,April,Tuesday
107,2024-04-17,Shopping,Income,3755,April,Wednesday
108,2024-04-18,Travel,Income,22535,April,Thursday
109,2024-04-19,Shopping,Income,3735,April,Friday
110,2024-04-20,Food,Income,23370,April,Saturday
111,2024-04-21,Rent,Income,2565,April,Sunday
112,2024-04-22,Entertainment,Income,12890,April,Monday
113,2024-04-23,Entertainment,Expense,736,April,Tuesday
114,2024-04-24,Travel,Income,1040,April,Wednesday
115,2024-04-25,Bills,Income,13440,April,Thursday
116,2024-04-26,Travel,Expense,4768,April,Friday
117,2024-04-27,Rent,Income,20930,April,Saturday
118,2024-04-28,Shopping,Expense,1245,April,Sunday
119,2024-04-29,Rent,Income,9005,April,Monday
120,2024-04-30,Salary,Expense,3042,April,Tuesday
121,2024-05-01,Salary,Income,5305,May,Wednesday
122,2024-05-02,Entertainment,Expense,778,May,Thursday
123,2024-05-03,Travel,Expense,1102,May,Friday
124,2024-05-04,Rent,Income,9845,May,Saturday
125,2024-05-05,Bills,Income,4710,May,Sunday
126,2024-05-06,Salary,Income,4745,May,Monday
127,2024-05-07,Travel,Income,15720,May,Tuesday
128,2024-05-08,Salary,Income,14645,May,Wednesday
129,2024-05-09,Shopping,Income,16755,May,Thursday
130,2024-05-10,Travel,Income,21525,May,Friday
131,2024-05-11,Rent,Income,12085,May,Saturday
132,2024-05-12,Salary,Income,7960,May,Sunday
133,2024-05-13,Rent,Income,20755,May,Monday
134,2024-05-14,Entertainment,Income,18490,May,Tuesday
135,2024-05-15,Rent,Income,5145,May,Wednesday
136,2024-05-16,Food,Expense,3629,May,Thursday
137,2024-05-17,Rent,Expense,1338,May,Friday
138,2024-05-18,Shopping,Expense,3253,May,Saturday
139,2024-05-19,Rent,Expense,3080,May,Sunday
140,2024-05-20,Travel,Income,1145,May,Monday
141,2024-05-21,Entertainment,Expense,1894,May,Tuesday
142,2024-05-22,Food,Income,15435,May,Wednesday
143,2024-05-23,Food,Expense,1619,May,Thursday
144,2024-05-24,Travel,Income,19980,May,Friday
145,2024-05-25,Food,Expense,3140,May,Saturday
146,2024-05-26,Shopping,Income,7730,May,Sunday
147,2024-05-27,Rent,Expense,4492,May,Monday
148,2024-05-28,Salary,Income,3905,May,Tuesday
149,2024-05-29,Salary,Expense,4037,May,Wednesday
150,2024-05-30,Shopping,Expense,866,May,Thursday
151,2024-05-31,Salary,Expense,2640,May,Friday
152,2024-06-01,Shopping,Income,15385,June,Saturday
153,2024-06-02,Shopping,Income,4340,June,Sunday
154,2024-06-03,Entertainment,Income,9075,June,Monday
155,2024-06-04,Rent,Income,18460,June,Tuesday
156,2024-06-05,Bills,Income,23910,June,Wednesday
157,2024-06-06,Salary,Expense,2785,June,Thursday
158,2024-06-07,Shopping,Income,5720,June,Friday
159,2024-06-08,Entertainment,Income,15430,June,Saturday
160,2024-06-09,Travel,Expense,4897,June,Sunday
161,2024-06-10,Shopping,Expense,1645,June,Monday
162,2024-06-11,Travel,Income,1415,June,Tuesday
163,2024-06-12,Food,Expense,4958,June,Wednesday
164,2024-06-13,Food,Expense,3128,June,Thursday
165,2024-06-14,Food,Income,22985,June,Friday
166,2024-06-15,Travel,Expense,374,June,Saturday
167,2024-06-16,Rent,Expense,785,June,Sunday
168,2024-06-17,Rent,Income,10475,June,Monday
169,2024-06-18,Rent,Expense,358,June,Tuesday
170,2024-06-19,Entertainment,Income,17720,June,Wednesday
171,2024-06-20,Food,Expense,2152,June,Thursday
172,2024-06-21,Travel,Expense,1473,June,Friday
173,2024-06-22,Food,Income,14980,June,Saturday
174,2024-06-23,Entertainment,Expense,2626,June,Sunday
175,2024-06-24,Shopping,Expense,3021,June,Monday
176,2024-06-25,Rent,Income,21695,June,Tuesday
177,2024-06-26,Bills,Income,16450,June,Wednesday
178,2024-06-27,Entertainment,Expense,214,June,Thursday
179,2024-06-28,Food,Expense,1953,June,Friday
180,2024-06-29,Travel,Income,12250,June,Saturday
181,2024-06-30,Entertainment,Expense,3801,June,Sunday
182,2024-07-01,Bills,Income,1785,July,Monday
183,2024-07-02,Entertainment,Income,15090,July,Tuesday
184,2024-07-03,Food,Income,17585,July,Wednesday
185,2024-07-04,Travel,Expense,3935,July,Thursday
186,2024-07-05,Shopping,Expense,3154,July,Friday
187,2024-07-06,Bills,Expense,1186,July,Saturday
188,2024-07-07,Rent,Income,3740,July,Sunday
189,2024-07-08,Bills,Income,12555,July,Monday
190,2024-07-09,Shopping,Expense,1259,July,Tuesday
191,2024-07-10,Shopping,Income,7720,July,Wednesday
192,2024-07-11,Food,Expense,1338,July,Thursday
193,2024-07-12,Food,Income,24335,July,Friday
194,2024-07-13,Rent,Income,8805,July,Saturday
195,2024-07-14,Travel,Income,19345,July,Sunday
196,2024-07-15,Entertainment,Expense,4032,July,Monday
197,2024-07-16,Bills,Expense,4782,July,Tuesday
198,2024-07-17,Food,Income,1115,July,Wednesday
199,2024-07-18,Food,Income,12550,July,Thursday
200,2024-07-19,Food,Expense,1756,July,Friday
201,2024-07-20,Travel,Expense,2478,July,Saturday
202,2024-07-21,Entertainment,Income,6985,July,Sunday
203,2024-07-22,Salary,Income,16370,July,Monday
204,2024-07-23,Travel,Income,5145,July,Tuesday
205,2024-07-24,Shopping,Expense,2121,July,Wednesday
206,2024-07-25,Travel,Income,18645,July,Thursday
207,2024-07-26,Bills,Expense,1573,July,Friday
208,2024-07-27,Bills,Expense,1651,July,Saturday
209,2024-07-28,Travel,Expense,1692,July,Sunday
210,2024-07-29,Salary,Income,11150,July,Monday
211,2024-07-30,Rent,Expense,3227,July,Tuesday
212,2024-07-31,Shopping,Expense,3747,July,Wednesday
213,2024-08-01,Bills,Income,14110,August,Thursday
214,2024-08-02,Salary,Income,19155,August,Friday
215,2024-08-03,Shopping,Expense,4075,August,Saturday
216,2024-08-04,Rent,Expense,441,August,Sunday
217,2024-08-05,Entertainment,Income,24125,August,Monday
218,2024-08-06,Food,Expense,1863,August,Tuesday
219,2024-08-07,Bills,Expense,1671,August,Wednesday
220,2024-08-08,Rent,Expense,4798,August,Thursday
221,2024-08-09,Entertainment,Expense,3055,August,Friday
222,2024-08-10,Food,Expense,1353,August,Saturday
223,2024-08-11,Rent,Income,24805,August,Sunday
224,2024-08-12,Rent,Expense,845,August,Monday
225,2024-08-13,Shopping,Income,16255,August,Tuesday
226,2024-08-14,Food,Expense,4728,August,Wednesday
227,2024-08-15,Travel,Income,9635,August,Thursday
228,2024-08-16,Shopping,Income,2360,August,Friday
229,2024-08-17,Entertainment,Expense,3721,August,Saturday
230,2024-08-18,Food,Income,18445,August,Sunday
231,2024-08-19,Rent,Income,19215,August,Monday
232,2024-08-20,Shopping,Income,21365,August,Tuesday
233,2024-08-21,Food,Income,18625,August,Wednesday
234,2024-08-22,Bills,Expense,948,August,Thursday
235,2024-08-23,Salary,Expense,2543,August,Friday
236,2024-08-24,Entertainment,Expense,1636,August,Saturday
237,2024-08-25,Entertainment,Income,10420,August,Sunday
238,2024-08-26,Salary,Expense,482,August,Monday
239,2024-08-27,Travel,Income,16755,August,Tuesday
240,2024-08-28,Salary,Expense,2084,August,Wednesday
241,2024-08-29,Salary,Income,19520,August,Thursday
242,2024-08-30,Food,Expense,348,August,Friday
243,2024-08-31,Shopping,Income,23615,August,Saturday
244,2024-09-01,Entertainment,Expense,3950,September,Sunday
245,2024-09-02,Entertainment,Expense,812,September,Monday
246,2024-09-03,Entertainment,Expense,1369,September,Tuesday
247,2024-09-04,Food,Income,12135,September,Wednesday
248,2024-09-05,Rent,Expense,2618,September,Thursday
249,2024-09-06,Bills,Income,19970,September,Friday
250,2024-09-07,Travel,Expense,1387,September,Saturday
251,2024-09-08,Entertainment,Expense,2564,September,Sunday
252,2024-09-09,Salary,Expense,2907,September,Monday
253,2024-09-10,Rent,Expense,2226,September,Tuesday
254,2024-09-11,Travel,Expense,2471,September,Wednesday
255,2024-09-12,Bills,Expense,2322,September,Thursday
256,2024-09-13,Rent,Expense,1063,September,Friday
257,2024-09-14,Entertainment,Expense,1287,September,Saturday
258,2024-09-15,Entertainment,Income,24865,September,Sunday
259,2024-09-16,Shopping,Expense,537,September,Monday
260,2024-09-17,Food,Income,11900,September,Tuesday
261,2024-09-18,Travel,Income,20395,September,Wednesday
262,2024-09-19,Salary,Income,20350,September,Thursday
263,2024-09-20,Food,Expense,2442,September,Friday
264,2024-09-21,Travel,Expense,2860,September,Saturday
265,2024-09-22,Bills,Expense,3192,September,Sunday
266,2024-09-23,Shopping,Income,3440,September,Monday
267,2024-09-24,Entertainment,Expense,1261,September,Tuesday
268,2024-09-25,Travel,Expense,3280,September,Wednesday
269,2024-09-26,Bills,Expense,3323,September,Thursday
270,2024-09-27,Travel,Income,7910,September,Friday
271,2024-09-28,Rent,Expense,3079,September,Saturday
272,2024-09-29,Bills,Expense,4563,September,Sunday
273,2024-09-30,Salary,Expense,1167,September,Monday
274,2024-10-01,Salary,Income,17245,October,Tuesday
275,2024-10-02,Bills,Income,11260,October,Wednesday
276,2024-10-03,Food,Expense,2949,October,Thursday
277,2024-10-04,Rent,Income,6070,October,Friday
278,2024-10-05,Rent,Income,7600,October,Saturday
279,2024-10-06,Entertainment,Income,13720,October,Sunday
280,2024-10-07,Shopping,Expense,1327,October,Monday
281,2024-10-08,Travel,Income,13555,October,Tuesday
282,2024-10-09,Bills,Expense,2072,October,Wednesday
283,2024-10-10,Food,Income,5155,October,Thursday
284,2024-10-11,Food,Income,4760,October,Friday
285,2024-10-12,Salary,Income,15055,October,Saturday
286,2024-10-13,Food,Expense,1836,October,Sunday
287,2024-10-14,Bills,Income,7595,October,Monday
288,2024-10-15,Shopping,Income,22080,October,Tuesday
289,2024-10-16,Entertainment,Income,14660,October,Wednesday
290,2024-10-17,Bills,Expense,3447,October,Thursday
291,2024-10-18,Salary,Expense,3761,October,Friday
292,2024-10-19,Shopping,Expense,258,October,Saturday
293,2024-10-20,Travel,Income,2035,October,Sunday
294,2024-10-21,Food,Income,19495,October,Monday
295,2024-10-22,Shopping,Income,19845,October,Tuesday
296,2024-10-23,Entertainment,Expense,932,October,Wednesday
297,2024-10-24,Travel,Income,11840,October,Thursday
298,2024-10-25,Entertainment,Income,1640,October,Friday
299,2024-10-26,Food,Expense,3362,October,Saturday
